Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Estados Unidos Mexicanos,25800414,26582712,27390991,28213599,29047347,29885073,30715735,31533527,32339747,33138343,33932670,34725561,35521315,36322403,37128316,37931589,38727777,39516236,40295668,41071919,41854639,42646245,43439574,44226367,45000843,45753998,46474031,47150749,47778268,48353617,48933194,49576541,50256500,50919820,51543164,52152554,52807568,53532742,54344847,55219029,56087296,56940016,57750657,58515422,59237019,59896137,60507080,61102672,61709453,62309982,62764717,63092068,63553508,64138153,64705498,65247137,65757028,66233003,66675613,67087899,67473936,67838037,68184368,68516854,68838817,69152292,69457357,69751815,70031560,70291681,70527721,70736929,70918575,71073685,71204477,71313856,71404937,71480858,71544250,71596915,71639498,71671458,71691037,71695502,71681763,71647216,71590417,71511245,71410740,71290674,71153220,71000729,70835415,70659152,70473169,70277931,70073096,69857607,69629984,69388685,69132540
Aguascalientes,179225,186403,194108,202077,210274,218624,227038,235502,243966,252450,261383,271063,281159,291445,301924,312592,323441,334469,345656,357077,368701,380507,392478,404533,416608,428411,438720,447511,455788,463566,472780,484268,496506,508743,520714,532248,542851,553201,564557,576718,589843,604352,619125,633604,647766,660444,671636,682582,693723,704939,714122,721750,730684,740446,750016,759355,768387,777072,785371,793315,800954,808357,815539,822534,829357,836029,842561,848916,855063,860939,866522,871769,876689,881270,885533,889527,893245,896751,900044,903147,906080,908823,911345,913656,915709,917482,918948,920121,921009,921616,921981,922092,921998,921708,921228,920567,919726,918690,917441,915969,914266
Baja California,458634,472145,485657,499222,512774,526190,539375,552314,565160,578145,594881,617764,643753,670755,698612,727304,756325,785287,814399,843766,876567,913637,952068,991089,1030646,1070105,1110076,1150708,1190794,1230106,1268049,1306033,1345202,1384258,1422643,1459405,1490731,1518869,1549795,1582896,1612354,1634407,1651848,1667747,1682234,1709856,1755226,1804583,1854722,1905020,1942589,1969207,2000031,2033452,2066457,2098500,2129193,2158385,2186070,2212407,2237642,2262037,2285827,2309269,2332537,2355747,2378903,2401840,2424275,2445878,2466328,2485425,2503130,2519480,2534599,2548674,2561899,2574484,2586573,2598290,2609675,2620678,2631186,2640986,2649882,2657697,2664323,2669739,2674008,2677230,2679531,2681071,2681981,2682380,2682318,2681844,2680925,2679469,2677376,2674555,2670902
Baja California Sur,69679,73152,76861,80727,84737,88798,92950,97199,101517,105900,110578,115734,121167,126752,132500,138401,144411,150494,156671,162961,168715,173687,178530,183401,188280,193233,198879,205112,211247,217246,224278,232798,241795,250869,259882,269194,279956,292083,304919,318308,330380,339907,348122,356150,363994,372092,380625,389273,398135,407115,415991,424439,433241,442704,452039,461216,470219,479026,487648,496080,504324,512363,520224,527923,535461,542820,550006,557017,563836,570448,576831,582983,588897,594562,599988,605184,610140,614885,619409,623732,627841,631746,635428,638882,642103,645079,647817,650306,652561,654578,656368,657941,659294,660446,661393,662152,662704,663077,663243,663216,663000
Campeche,137452,144151,151355,158816,166495,174328,182282,190382,198568,206873,214654,221396,227764,234260,240898,247619,254373,261126,267879,274635,282189,290783,299680,308560,317380,325870,332844,338408,343626,348533,353990,360575,367685,374828,381787,388449,394051,398899,404272,410079,416523,424178,432259,440162,447826,453447,456535,458765,460829,462609,463525,463930,465194,467145,468854,470326,471552,472559,473366,473986,474438,474752,474945,475026,475030,474944,474767,474510,474150,473685,473100,472385,471536,470571,469473,468263,466929,465512,464004,462402,460729,458969,457133,455214,453194,451075,448858,446532,444130,441641,439063,436428,433723,430968,428169,425331,422442,419522,416541,413516,410447
Chiapas,867492,890197,913382,936769,960184,983169,1005949,1028582,1050605,1072137,1102424,1148717,1203217,1259600,1317503,1376781,1437219,1498725,1561195,1624650,1674955,1707869,1736557,1764418,1791716,1819205,1851574,1888093,1923736,1958071,1993991,2034025,2076146,2117763,2157804,2197301,2237881,2280564,2327111,2376739,2425946,2473276,2518224,2561648,2603618,2641302,2674490,2706266,2738599,2770491,2800924,2831285,2866519,2905814,2944274,2981617,3017690,3052468,3085943,3118206,3149394,3179656,3209153,3238041,3266427,3294413,3322021,3349230,3375941,3402026,3427369,3451891,3475568,3498403,3520451,3541768,3562430,3582514,3602070,3621151,3639749,3657836,3675348,3692197,3708279,3723501,3737819,3751239,3763758,3775443,3786372,3796606,3806217,3815267,3823827,3831879,3839412,3846420,3852858,3858680,3863848
Chihuahua,856814,874572,891995,909490,926895,943946,960304,975767,990283,1004013,1020537,1042485,1067046,1092064,1117439,1143033,1168629,1194061,1219381,1244666,1271474,1299954,1328595,1357072,1385225,1412529,1441177,1471185,1499827,1526940,1550638,1572320,1594681,1616438,1636917,1655614,1669292,1679734,1692348,1706429,1721344,1738219,1754871,1769884,1783455,1798779,1817307,1836708,1857035,1877193,1895944,1916442,1941481,1968560,1995203,2020736,2044698,2066893,2087362,2106320,2124079,2140969,2157329,2173461,2189613,2205917,2222357,2238738,2254704,2269816,2283692,2296086,2306907,2316259,2324313,2331322,2337548,2343238,2348620,2353831,2358932,2363874,2368506,2372567,2375798,2377979,2378979,2378787,2377465,2375150,2372028,2368261,2364032,2359493,2354696,2349676,2344408,2338768,2332619,2325814,2318235
Ciudad de México,3555034,3639138,3721289,3804800,3888776,3974375,4057989,4136706,4212661,4286391,4336271,4346881,4338009,4323529,4304157,4277585,4245275,4208818,4166358,4119152,4095970,4104691,4118915,4131554,4142184,4150642,4162107,4175406,4183690,4186251,4196353,4221831,4252224,4280465,4304448,4322404,4326439,4321299,4320181,4321273,4327349,4341506,4354435,4362604,4366057,4377002,4402058,4430244,4458036,4484048,4477410,4444051,4426944,4421621,4415603,4408045,4398354,4386331,4372059,4355853,4338144,4319401,4300060,4280534,4261123,4242021,4223222,4204488,4185393,4165388,4143978,4120915,4096149,4069802,4042175,4013522,3984291,3954746,3925242,3895948,3866936,3838148,3809381,3780333,3750661,3720105,3688503,3655814,3622164,3587757,3552789,3517544,3482221,3446999,3411992,3377232,3342684,3308199,3273603,3238694,3203379
Coahuila,597209,614947,633403,652305,671505,690809,709993,728940,747568,766012,785553,807362,830634,854426,878648,903055,927486,951936,976376,1000935,1022262,1039024,1054463,1069581,1084260,1098538,1113822,1129657,1144230,1157413,1173515,1194644,1217271,1239577,1261054,1281785,1301672,1321879,1344381,1368577,1393045,1417528,1441060,1463506,1484909,1504755,1523271,1541283,1559482,1577501,1594257,1611688,1632411,1654677,1676558,1697873,1718496,1738360,1757451,1775797,1793503,1810675,1827410,1843791,1859893,1875755,1891374,1906685,1921569,1935884,1949525,1962400,1974492,1985840,1996464,2006433,2015824,2024732,2033209,2041304,2049017,2056349,2063247,2069649,2075491,2080683,2085206,2089045,2092228,2094789,2096804,2098329,2099408,2100091,2100415,2100388,2099996,2099212,2098004,2096328,2094164
Colima,128866,133274,137874,142590,147415,152273,157142,162010,166832,171607,176312,180864,185372,189906,194464,199076,203665,208182,212695,217239,221926,226855,231954,237101,242204,247216,252489,257898,262976,267757,271718,275153,278767,282355,285791,289600,295469,303230,311600,320414,328836,336271,342908,349221,355299,359466,361513,363238,365130,367034,368812,370349,372310,374929,377465,379850,382068,384100,385948,387637,389168,390589,391909,393155,394341,395483,396567,397589,398513,399339,400024,400540,400915,401125,401197,401137,400975,400722,400395,400007,399556,399043,398465,397806,397046,396166,395163,394036,392803,391458,390030,388522,386947,385316,383629,381900,380114,378278,376374,374400,372356
