Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Estados Unidos Mexicanos,25760153,26550872,27367705,28200966,29049984,29907465,30760336,31605691,32448557,33293060,34139448,34989907,35848193,36712156,37579030,38443670,39300888,40148768,40986703,41818062,42648349,43481232,44313557,45138193,45952662,46752746,47531607,48287270,49020915,49731798,50435664,51162722,51910774,52668079,53427417,54218394,55078078,56005923,56931068,57811189,58668763,59506164,60309857,61082232,61811585,62472353,63080327,63674500,64286372,64905684,65444453,65890871,66407092,66997184,67568918,68120291,68650230,69158659,69645982,70112909,70560054,70987806,71396180,71785129,72154576,72504345,72834147,73143673,73432677,73701065,73948809,74176000,74382776,74569226,74735320,74881031,75006343,75111347,75196057,75260450,75304450,75328191,75331890,75315804,75280107,75224992,75150720,75057671,74946233,74816735,74669480,74504824,74323154,74124914,73910512,73680370,73434876,73174465,72899565,72610586,72307939
Aguascalientes,181937,189278,197135,205278,213689,222273,230967,239739,248582,257529,267019,277386,288239,299304,310589,322094,333790,345645,357676,369926,382155,394287,406505,418809,431143,443316,454583,465002,475217,485233,496053,508193,520891,533840,546979,560097,572455,584503,596631,608430,620713,633768,646847,659728,672270,684205,695776,707389,719280,731399,741928,750895,760442,770393,780169,789763,799172,808338,817251,825919,834357,842571,850546,858296,865791,873034,880024,886754,893235,899441,905379,911036,916439,921563,926417,931001,935305,939344,943113,946602,949814,952746,955412,957790,959912,961749,963311,964613,965644,966421,966928,967181,967191,966936,966446,965699,964729,963513,962060,960382,958473
Baja California,458693,472547,486396,500344,514392,528385,542203,555907,569687,583767,600812,622428,646378,671211,696702,722928,749352,775554,801785,828084,858476,894082,931201,968860,1007046,1045041,1082021,1118507,1155052,1191536,1227906,1264804,1302474,1340717,1379411,1417871,1452919,1485972,1519360,1552018,1581910,1606704,1628373,1649102,1668647,1696306,1735383,1777162,1819712,1862700,1896030,1920718,1948170,1977058,2005415,2033119,2060092,2086347,2111893,2136768,2161033,2184712,2207802,2230290,2252163,2273388,2293938,2313783,2332908,2351301,2368934,2385821,2401967,2417371,2432007,2445880,2458993,2471337,2482896,2493687,2503669,2512855,2521243,2528847,2535657,2541685,2546928,2551386,2555084,2558013,2560194,2561627,2562319,2562271,2561507,2560024,2557842,2554980,2551442,2547239,2542389
Baja California Sur,66111,69385,72891,76535,80319,84171,88103,92155,96274,100492,104981,109864,115013,120311,125757,131338,137023,142775,148611,154536,160104,165142,170084,175058,180065,185094,190174,195289,200405,205501,211818,219686,227996,236488,245122,254311,265344,278033,290957,303869,315639,325205,333681,342059,350287,358313,366202,374121,382281,390643,399107,407393,415983,425062,434011,442836,451515,460076,468493,476768,484888,492861,500682,508327,515809,523120,530250,537192,543948,550513,556875,563043,569007,574766,580319,585662,590791,595704,600410,604896,609167,613212,617044,620642,624027,627187,630115,632829,635323,637594,639645,641478,643094,644493,645678,646656,647415,647984,648348,648515,648473
Campeche,134933,141474,148511,155790,163320,170982,178782,186763,194873,203152,210861,217407,223519,229739,236050,242439,248834,255200,261528,267843,275162,283855,292905,301950,310970,319727,326915,332680,338286,343799,350093,357555,365478,373635,381920,390231,397570,404063,410435,416463,423244,431448,440223,448974,457490,463628,466864,469226,471491,473581,475654,477754,480251,483146,485805,488241,490462,492492,494349,496040,497567,498961,500212,501329,502313,503174,503899,504493,504951,505282,505465,505508,505415,505179,504807,504296,503651,502860,501935,500856,499647,498283,496786,495149,493390,491504,489493,487347,485082,482712,480225,477632,474935,472137,469234,466234,463150,459987,456734,453408,450020
Chiapas,841925,863090,884592,906266,928017,949395,970541,991588,1012187,1032479,1062040,1108704,1164281,1221846,1281005,1341633,1403511,1466510,1530563,1595601,1648003,1683710,1715406,1746362,1776942,1807854,1842929,1881922,1921117,1960249,2002049,2048039,2095765,2144203,2192964,2243228,2295891,2350976,2406301,2460299,2513138,2563475,2611540,2658850,2704822,2744992,2778887,2811179,2844347,2877688,2914336,2954268,2996363,3040538,3083880,3126286,3167779,3208354,3248027,3286808,3324724,3361810,3398090,3433608,3468369,3502390,3535709,3568332,3600284,3631571,3662210,3692190,3721518,3750152,3778090,3805288,3831734,3857391,3882249,3906286,3929473,3951794,3973247,3993810,4013488,4032275,4050157,4067132,4083223,4098424,4112743,4126198,4138792,4150553,4161493,4171620,4180950,4189482,4197260,4204287,4210565
Chihuahua,841426,860392,879093,898006,917044,935931,954275,971961,989076,1005754,1024370,1046625,1070661,1095044,1119609,1144279,1168811,1193030,1216973,1240675,1266768,1295752,1325129,1354330,1383264,1411282,1438226,1464548,1490210,1515154,1538558,1561180,1584204,1607420,1630670,1653865,1674064,1691956,1709274,1724836,1740624,1758064,1775590,1791978,1807032,1822766,1840487,1858911,1878379,1898102,1916683,1935449,1956793,1979376,2001301,2022394,2042608,2061971,2080533,2098379,2115577,2132165,2148167,2163573,2178352,2192457,2205862,2218520,2230402,2241522,2251846,2261391,2270172,2278185,2285459,2291978,2297764,2302815,2307139,2310733,2313579,2315693,2317074,2317745,2317706,2316972,2315561,2313484,2310759,2307389,2303400,2298792,2293581,2287787,2281411,2274463,2266970,2258934,2250362,2241279,2231688
Ciudad de México,3781286,3869914,3956651,4044893,4134202,4225603,4315198,4400474,4483972,4566217,4623752,4639571,4634555,4623073,4605483,4579868,4547458,4509706,4464914,4414047,4389561,4400876,4418139,4433324,4446376,4457301,4469174,4481710,4490970,4496378,4509734,4536836,4567485,4597864,4627185,4654786,4675302,4690608,4702514,4707955,4716802,4732780,4747736,4758885,4765204,4775225,4794778,4816514,4838232,4859023,4855183,4828598,4810700,4800016,4788415,4775613,4761612,4746403,4730077,4712757,4694561,4675550,4655739,4635133,4613697,4591368,4568116,4543902,4518726,4492560,4465445,4437404,4408447,4378646,4348039,4316652,4284467,4251547,4217884,4183524,4148461,4112720,4076342,4039338,4001729,3963564,3924874,3885685,3846006,3805922,3765425,3724555,3683340,3641817,3600010,3557981,3515714,3473273,3430673,3387936,3345111
Coahuila,582953,601189,620201,639731,659708,679913,700093,720193,740239,760379,781259,803663,827235,851306,875725,900298,924871,949391,973859,998324,1019988,1037757,1054326,1070550,1086425,1101859,1116593,1130548,1143791,1156253,1172390,1193710,1216223,1239005,1261952,1285382,1309708,1335366,1361178,1386117,1410200,1432812,1454050,1474561,1494019,1512565,1530661,1548474,1566625,1584964,1602865,1621162,1641247,1662061,1682433,1702384,1721889,1740940,1759524,1777627,1795269,1812469,1829224,1845529,1861369,1876723,1891587,1905921,1919731,1933001,1945705,1957851,1969450,1980482,1990958,2000860,2010190,2018958,2027149,2034781,2041821,2048291,2054187,2059516,2064287,2068498,2072166,2075294,2077890,2079971,2081538,2082599,2083162,2083239,2082847,2081996,2080686,2078926,2076733,2074112,2071081
Colima,126883,131258,135839,140547,145389,150296,155195,160134,165070,170020,174888,179588,184202,188840,193495,198207,202896,207485,212060,216643,221434,226565,231890,237253,242590,247863,253298,258830,264176,269392,273784,277437,281171,284997,288905,293406,300010,308417,316947,325303,333266,340528,347255,353771,360060,364545,367031,369226,371613,374096,376310,377966,379937,382476,384922,387255,389470,391573,393558,395434,397204,398861,400422,401868,403205,404429,405530,406518,407381,408118,408742,409248,409627,409886,410027,410055,409956,409740,409417,408968,408403,407728,406924,406024,405019,403894,402673,401340,399926,398404,396797,395087,393291,391417,389439,387388,385256,383044,380750,378385,375944
