Grupo edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0-4,4988029,5082047,5193668,5329138,5499425,5717376,5959721,6212849,6471738,6732840,6994568,7261127,7532807,7806771,8078647,8343599,8598876,8847237,9092086,9335316,9569468,9806141,10054033,10296708,10521708,10713330,10856363,10944802,10986164,10998507,11003242,11020289,11063151,11133031,11223589,11325181,11426475,11520184,11606751,11688864,11774271,11872047,11972815,12058834,12116411,12131192,12096048,12024123,11942334,11872978,11828215,11805961,11786673,11748488,11681499,11601809,11541024,11519845,11533641,11562909,11587269,11586501,11543107,11460754,11352401,11223353,11078659,10930231,10798434,10686033,10587243,10508229,10444776,10374508,10289789,10192479,10080189,9965266,9853962,9740689,9626831,9513129,9399802,9287029,9175091,9064265,8954880,8847231,8741252,8636637,8533134,8430747,8329748,8230321,8132381,8035782,7940406,7846189,7753112,7661071,7569919,7479557,7389919,7300990,7212782,7125306,7038571,6952597,6867454,6783283,6700200,6618229,6537293,6457336,6378400,6300523,6223703,6147863,6072911,5998824,5925620
5-9,3990293,4102026,4213936,4325786,4434421,4540690,4651871,4779901,4932216,5118856,5341815,5588197,5843703,6103342,6362714,6622151,6886867,7157188,7429008,7697569,7957425,8207143,8451584,8694310,8938145,9186859,9442132,9697926,9946531,10177484,10376082,10527356,10625207,10676837,10697981,10707682,10725723,10766297,10830965,10914219,11007743,11102644,11193297,11278950,11363217,11454026,11556096,11657836,11740165,11787067,11790657,11754586,11693707,11632609,11593006,11584396,11600181,11621521,11624089,11595368,11546373,11500474,11474503,11474211,11487017,11489198,11465034,11406796,11318706,11210673,11091854,10963292,10828922,10705418,10595260,10496720,10422946,10363509,10292374,10206456,10108230,9995733,9881361,9771353,9660068,9548719,9437862,9327476,9217482,9107913,8998859,8890585,8783451,8677567,8572864,8469312,8367086,8266553,8167933,8071121,7975909,7882086,7789467,7697899,7607157,7517019,7427355,7338141,7249446,7161391,7074101,6987674,6902177,6817705,6734375,6652272,6571352,6491466,6412487,6334390,6257183
10-14,3366625,3463383,3563596,3667398,3776774,3889221,4001769,4115460,4228832,4338493,4444650,4555528,4682727,4834435,5019709,5240204,5482695,5733427,5987396,6239938,6491411,6747592,7008891,7272476,7535003,7791486,8039234,8281201,8521622,8762581,9007846,9260166,9514310,9761282,9989654,10184325,10330069,10420922,10464344,10476941,10478655,10489917,10525401,10587482,10670859,10766355,10862957,10952921,11034389,11109194,11190471,11291391,11400956,11498380,11568101,11601176,11597534,11571931,11545756,11537684,11553326,11580086,11595981,11585724,11543333,11477009,11413680,11377050,11373187,11387147,11397320,11385178,11337697,11256619,11154118,11039286,10912060,10777439,10652635,10540586,10440263,10365195,10305174,10234342,10149538,10053078,9942818,9830871,9723200,9613937,9504090,9394103,9283988,9173818,9063856,8954422,8845974,8738989,8633623,8529789,8427392,8326511,8227385,8130094,8034412,7940036,7846725,7754327,7662778,7571962,7481778,7392192,7303232,7214997,7127591,7041099,6955554,6870953,6787304,6704675,6623104
15-19,2890254,2954119,3021169,3093549,3172852,3260015,3353910,3451584,3552768,3659444,3769168,3879428,3991309,4103277,4211268,4314621,4420594,4540551,4682697,4855787,5061528,5287745,5521875,5760129,5998923,6238320,6482657,6731357,6982832,7234531,7481161,7719324,7952088,8183254,8413713,8645331,8879198,9109884,9329714,9530433,9700040,9824632,9898974,9931732,9939270,9938781,9945287,9968047,10010951,10072826,10166046,10300286,10454343,10600140,10723243,10841197,10979620,11135260,11284708,11404978,11478125,11499247,11480422,11451123,11435954,11437450,11449028,11456993,11446958,11409227,11351162,11297791,11270387,11272485,11291046,11305272,11295573,11249245,11168228,11065041,10949358,10821586,10686989,10562887,10452223,10353823,10280826,10222789,10153896,10070884,9975923,9866871,9755738,9648518,9539586,9430130,9320742,9211530,9102594,8994173,8886503,8779932,8674805,8571152,8468777,8367540,8267503,8168950,8072041,7976659,7882613,7789746,7697966,7607227,7517400,7428346,7339967,7252222,7165143,7078778,6993170
20-24,2443174,2512017,2578365,2642114,2704002,2763903,2824576,2888585,2957781,3033588,3116885,3207231,3302149,3401134,3505419,3611826,3717084,3821674,3923896,4019939,4109942,4201780,4307126,4434439,4592625,4783670,4995494,5214962,5438391,5662647,5887740,6117960,6353336,6591556,6828270,7056722,7273123,7479842,7679913,7875729,8072320,8272998,8473885,8667431,8844170,8991321,9093305,9141009,9137151,9093360,9046108,9040930,9092422,9191262,9320341,9474852,9658278,9863855,10078790,10291023,10496980,10702186,10895042,11060185,11182994,11245014,11249138,11220469,11192474,11184875,11198632,11222822,11241199,11236668,11201816,11147191,11095874,11067910,11067894,11083660,11095452,11084444,11038319,10959142,10859116,10747429,10624084,10493889,10373666,10266144,10170012,10098154,10040391,9971674,9889165,9795249,9688023,9579323,9474999,9369486,9263778,9158241,9052730,8947118,8841471,8735973,8631011,8527062,8424347,8322885,8222705,8124003,8027117,7932218,7839137,7747596,7657321,7568082,7479719,7392015,7304787
25-29,2044185,2099369,2156503,2216344,2279232,2346115,2414501,2480444,2543495,2604142,2662280,2721396,2784267,2852574,2927383,3009271,3097456,3189186,3283620,3381939,3481518,3579619,3677319,3773351,3864248,3950536,4039627,4141764,4264894,4417688,4601743,4805724,5017683,5233919,5450273,5665496,5883547,6104345,6324974,6541927,6751055,6950343,7142812,7331081,7516162,7701756,7889353,8071929,8236934,8370215,8467559,8532073,8562979,8564305,8548132,8540066,8572037,8662213,8810800,9005181,9225714,9456783,9683200,9896351,10091464,10267903,10435898,10596513,10741665,10855912,10922086,10937958,10926728,10914315,10917107,10939221,10967865,10985003,10975798,10935798,10876887,10822664,10793154,10793026,10810266,10825217,10818913,10778558,10705334,10610428,10502425,10381337,10252255,10132230,10024566,9928524,9857059,9800460,9734342,9655840,9567020,9465632,9362723,9263519,9162185,9059499,8955839,8851310,8746173,8640918,8536107,8432394,8330398,8230377,8132259,8035898,7941242,7848341,7757095,7667131,7578079
30-34,1705044,1750228,1799990,1853202,1908730,1965275,2021769,2079953,2140150,2202403,2267720,2334583,2399449,2461801,2521963,2579719,2638240,2700064,2766568,2838866,2917749,3002575,3091156,3182803,3278635,3376345,3473370,3569878,3664672,3754644,3839650,3926888,4027020,4148012,4297824,4477314,4675338,4880200,5087719,5294212,5499981,5709859,5923983,6139440,6352340,6558064,6753796,6940268,7116366,7279600,7436288,7596257,7757410,7910869,8047031,8160451,8248550,8310493,8352558,8384937,8419695,8476829,8571452,8706871,8875699,9062498,9254667,9445110,9630943,9808290,9977246,10143750,10312661,10470489,10596088,10676162,10705278,10697293,10678872,10673320,10686780,10708430,10721652,10712334,10675943,10623491,10577158,10555467,10561875,10583612,10600721,10594422,10552548,10477056,10379924,10270510,10149562,10022449,9905898,9802983,9712650,9647108,9596286,9535613,9461621,9375955,9276339,9173885,9074228,8972255,8869284,8766118,8663107,8560565,8458882,8358380,8259360,8162044,8066289,7971720,7878033
35-39,1496482,1512728,1533528,1560465,1594488,1635531,1682382,1733387,1787132,1842240,1897506,1952750,2009948,2069274,2130766,2195325,2261212,2324938,2385909,2444510,2500652,2557460,2617874,2683081,2754134,2832064,2916310,3003960,3094567,3189539,3285977,3381224,3476283,3570176,3659566,3743841,3829982,3928353,4046179,4191364,4365819,4559281,4760327,4964876,5169132,5373169,5581225,5792048,6000650,6201195,6390501,6570154,6743727,6912127,7075357,7239984,7413356,7593015,7771992,7939068,8078714,8180804,8242566,8271913,8283006,8292537,8322381,8391499,8506583,8661058,8837956,9021998,9214969,9410549,9596725,9777489,9957417,10128720,10277520,10392481,10462751,10484856,10473520,10455260,10452779,10471634,10500482,10521952,10520865,10491437,10443528,10398620,10375263,10377703,10394505,10407160,10398090,10355880,10282600,10189860,10086491,9972698,9853057,9743218,9645529,9558546,9494206,9442886,9380899,9305451,9218799,9119201,9017879,8920472,8821855,8723087,8624595,8526299,8428088,8329986,8232106
40-44,1350616,1367433,1383077,1397774,1412504,1428696,1447606,1470491,1498690,1532908,1573052,1618773,1668812,1721554,1775797,1830332,1884593,1940528,1998349,2058110,2120726,2184666,2247004,2306765,2364346,2419976,2476700,2536589,2601206,2671889,2748924,2831678,2918091,3007846,3102075,3197720,3292247,3386518,3478979,3566410,3649049,3734103,3831567,3948436,4092439,4265376,4456797,4654781,4854108,5050128,5243782,5441591,5644097,5847502,6047363,6241017,6428855,6613881,6798129,6980272,7160213,7340995,7518719,7686587,7835685,7954637,8035326,8078442,8094834,8099027,8101970,8123392,8194641,8318732,8480204,8667839,8866738,9063937,9251781,9428441,9599549,9771095,9936468,10082569,10198336,10272800,10301836,10298892,10288840,10292878,10315626,10345538,10365697,10361861,10329342,10278876,10232387,10208611,10211923,10231052,10247551,10243658,10207458,10140227,10052697,9953119,9841578,9722800,9612701,9514216,9426506,9361808,9310950,9250670,9178122,9095317,9000193,8903427,8810174,8715034,8618845
45-49,1179499,1200465,1219940,1239144,1258912,1279107,1298469,1316252,1332611,1348289,1364480,1383249,1406170,1434077,1467891,1507550,1552211,1600790,1651913,1704294,1756821,1809307,1863934,1920361,1978763,2040363,2103489,2164746,2223773,2281108,2336276,2392165,2451486,2515768,2586033,2662520,2744775,2830672,2919248,3011578,3105429,3198572,3291729,3383398,3470450,3553039,3637675,3733673,3847347,3985767,4151315,4335384,4527290,4722644,4917587,5113158,5315106,5523623,5735532,5945504,6147048,6338245,6520701,6696332,6865022,7028981,7192382,7354088,7509914,7651720,7757090,7817510,7858584,7887875,7904372,7925300,7968743,8048609,8168315,8323229,8503467,8695475,8887330,9072010,9247884,9420354,9594917,9764413,9915068,10035007,10112580,10143287,10140434,10129068,10130874,10151230,10179433,10199276,10196932,10167759,10122084,10081101,10062747,10070794,10093592,10112547,10109962,10074203,10006928,9919258,9819871,9709256,9592330,9484887,9389762,9305950,9245255,9198287,9141735,9072465,8992281
